Channel_SN,Channel_RxFreq,Channel_TxFreq,Channel_RxQt,Channel_TxQt,Channel_Power,Channel_Band,Channel_MuteMode,Channel_Scream,Channel_ScanAdd,Channel_Compand,Channel_AM,Channel_FAV,Channel_SendLoc,Channel_CallCodeSn,Channel_Name
56,147.02000,147.62000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.02
57,147.04000,147.64000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.04
58,147.06000,147.66000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.06
59,147.08000,147.68000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.08
60,147.10000,147.70000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.10
61,147.12000,147.72000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.12
62,147.14000,147.74000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.14
63,147.16000,147.76000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.16
64,147.18000,147.78000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.18
65,147.20000,147.80000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.20
66,147.22000,147.82000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.22
67,147.24000,147.84000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.24
68,147.26000,147.86000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.26
69,147.28000,147.88000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.28
70,147.30000,147.90000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.30
71,147.32000,147.92000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.32
72,147.34000,147.94000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.34
73,147.36000,147.96000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.36
74,147.38000,147.98000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.38
75,147.36000,147.96000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.36
76,147.38000,147.98000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,147.38
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,51.50000,50.50000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.50
81,51.52000,50.52000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.52
82,51.54000,50.54000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.54 
83,51.56000,50.56000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.56
84,51.58000,50.58000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.58
85,51.60000,50.60000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 51.60
86,52.49000,51.49000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.49
87,52.51000,51.51000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.51
88,52.54000,51.54000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.54
89,52.55000,51.55000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.55
90,52.57000,51.57000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.57
91,52.59000,51.59000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 52.59-EBQ
92,53.13000,52.13000,OFF,103.5,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 53.13
93,53.15000,52.15000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 53.15
94,53.23000,52.23000,OFF,162.2,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,4,6m 53.23
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,423.97500,428.97500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,423.975 
101,440.45000,445.45000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,440.450 
102,440.50000,445.50000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,440.5000
103,440.53750,445.53750,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,440.5375 
104,440.57500,445.57500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,440.5750 
105,440.63750,445.63750,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,440.6375 
106,441.32500,446.32500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.3250 
107,441.33750,446.33750,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.3375 
108,441.35000,446.35000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.3500 
109,441.37500,446.37500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.3750 
110,441.55000,446.55000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.5500
111,441.60000,446.60000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.6000
112,441.62500,446.62500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.6250
113,441.67500,446.67500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.6750
114,441.72500,446.72500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.7250 
115,441.75000,446.75000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.7500
116,441.80000,446.80000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.8000
117,441.85000,446.85000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.8500
118,441.90000,446.90000,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.9000
119,441.92500,446.92500,OFF,110.9,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,2,441.9250
